gene,symbol,description,baseMean,log2FoldChange,lfcSE,pvalue,padj
AT3G01060,NA,NA,806.6996524857661,4.474492347033162,0.568671122916675,1.8009115250599315e-16,3.6434241063487475e-12
AT3G01550,ATPPT2,NA,226.59115367605312,6.789509533151232,0.8709006330742018,6.730352066304772e-16,4.538725088447062e-12
AT5G58770,AtcPT4,NA,360.5411534691126,4.714108755060651,0.6096780534691767,5.511930943110402e-16,4.538725088447062e-12
AT1G32900,GBSS1,NA,1270.1903388671558,4.495836670987609,0.598818638176946,2.976863237758949e-15,1.5056230040775325e-11
AT3G56290,NA,NA,714.9637108535611,4.873846538847207,0.6919689023046682,9.016957693003859e-14,3.648441421743221e-10
AT5G23660,AtSWEET12,homolog of the Medicago nodulin MTN3,1080.1361506412595,-3.904246941098095,0.5721207937367879,4.004882314112487e-13,1.3503795682801623e-9
AT4G39800,ATIPS1,"** Referred to as MIPS2 in Mitsuhashi et al 2008. myo-inositol-1-phosphate synthase isoform 1.Expressed in leaf, root and silique. Immunolocalization experiments with an antibody recognizing MIPS1, MIPS2, and MIPS3 showed endosperm localization.",1580.718198906114,3.9980366889662986,0.5908553908928309,6.314772759780898e-13,1.5969270962890915e-9
AT5G64940,abc1k8,Encodes a member of ATH subfamily of ATP-binding cassette (ABC) proteins.,2155.914178904181,3.629357160919432,0.5348135668214525,5.898797048392446e-13,1.5969270962890915e-9
AT1G65490,STMP5,NA,381.0615363818561,3.9835322755606817,0.5926787674003386,8.744963580279148e-13,1.8384835600115623e-9
AT2G15020,NA,NA,307.93890604044503,8.089722533157296,1.1872371981443737,9.087457664038172e-13,1.8384835600115623e-9
AT1G73600,AtPMT3,NA,2022.3631029642336,4.733152556693228,0.7199655768154408,2.252783181418112e-12,4.143277867569984e-9
AT1G01060,LHY,LHY encodes a myb-related putative transcription factor involved in circadian rhythm along with another myb transcription factor CCA1,588.2912110148729,5.754311752570822,0.8877571949748922,4.1364044927612675e-12,6.818229727283872e-9
AT2G31380,BBX25,a B-box zinc finger protein that interacts with COP1. contains a novel 11 amino acid motif at the C-terminus (also found at the N-terminus of HY5) that is involved in the COP1 interaction.,462.70835118412697,4.113593841414035,0.6351319345185369,4.381245932217406e-12,6.818229727283872e-9
AT5G60100,APRR3,"Encodes pseudo-response regulator 3 (APRR3/PRR3). PRR3 transcript levels vary in a circadian pattern with peak expression at dusk under long and short day conditions. PRR3 affects the period of the circadian clock and seedlings with reduced levels of PRR3 have shorter periods, based on transcriptional assays of clock-regulated genes. PRR3 is expressed in the vasculature of cotyledons and leaves where it may help stabilize the TOC1 protein by preventing interactions between TOC1 and the F-box protein ZTL.",180.12972535567604,-4.915950565324496,0.7644785053372599,5.0650202903101885e-12,7.319316106661818e-9
AT2G04039,NdhV,NA,837.8758425084905,3.4972514226633504,0.5577503894934472,1.7741340911276068e-11,2.2432816748501632e-8
AT5G42800,DFR,dihydroflavonol reductase. Catalyzes the conversion of dihydroquercetin to leucocyanidin in the biosynthesis of anthocyanins.,286.38231390777815,7.380370681965258,1.1698616928358376,1.6738039659226805e-11,2.2432816748501632e-8
AT5G41080,AtGDPD2,NA,1272.9554052094977,-3.5501437001011835,0.5908045642294092,7.886610704769963e-11,9.385530656953009e-8
AT2G19800,MIOX2,Encodes a myo-inositol oxygenase family gene.,1911.1876667468111,-3.360268651230458,0.5701446698561068,1.693613965158348e-10,1.903528007173252e-7
AT4G30270,MERI-5,"encodes a protein similar to endo xyloglucan transferase in sequence. It is also very similar to BRU1 in soybean, which is involved in brassinosteroid response.",11833.093636734817,-3.9956992711911914,0.6798476512132815,1.8055882716571444e-10,1.9225713854681945e-7
AT3G12320,LNK3,NA,632.334645357495,4.521328870242129,0.77175643457408,2.0971522237971206e-10,2.1213743319819777e-7
AT1G07010,AtSLP1,NA,628.9098611754432,3.3064958583606754,0.5670246495443065,2.614657271133359e-10,2.518911012014238e-7
AT4G19690,ATIRT1,Fe(II) transport protein (IRT1),266.88736713665367,4.4159843786501884,0.762653384108515,3.204514285711113e-10,2.946842205191888e-7
AT3G30775,AT-POX,"Encodes a proline oxidase that is predicted to localize to the inner mitochondrial membrane, its mRNA expression induced by high levels of Al and by osmotic stress.  The promoter contains an L-proline-inducible element.",9104.33459053483,-3.456871041361933,0.6005292791957896,3.7194457911159566e-10,3.271656860872475e-7
AT1G12610,ATDDF1,"Encodes a member of the DREB subfamily A-1 of ERF/AP2 transcription factor family (DDF1). The protein contains one AP2 domain. There are six members in this subfamily, including CBF1, CBF2, and CBF3. Overexpression of this gene results in delayed flowering and dwarfism, reduction of gibberellic acid biosynthesis, and increased tolerance to high levels of salt. This gene is expressed in all tissues examined, but most abundantly expressed in upper stems. Overexpression of this gene is also correlated with increased expression of GA biosynthetic genes and RD29A (a cold and drought responsive gene). Under salt stress it induces the expression of GAOX7, which encodes ad C20-GA inhibitor.",92.95569286750435,5.794022394141134,0.9930475459932174,4.5265148045762476e-10,3.650860557474947e-7
AT1G13650,NA,NA,297.609792449041,4.637769368852983,0.8105757025009055,4.691926968234323e-10,3.650860557474947e-7
AT1G73870,BBX16,NA,450.34185806733115,4.19588508184807,0.7325603769908451,4.5142628154382455e-10,3.650860557474947e-7
AT1G29920,AB165,Encodes lhcb1.1 a component of the LHCIIb light harvesting complex associated with photosystem II.,63365.418974597545,3.450636806641163,0.6076228090735318,8.008576860529633e-10,6.000796980199074e-7
AT5G48850,ATSDI1,"homologous to the wheat sulphate deficiency-induced gene sdi1. Expression in root and leaf is induced by sulfur starvation. Knockout mutants retained higher root and leaf sulfate concentrations, indicating a role in regulation of stored sulfate pools.",168.82806121471947,3.9529742493904503,0.7067632407673495,1.0844800578044474e-9,7.835755731943493e-7
AT5G14920,GASA14,NA,2105.315105768778,-3.650416043250016,0.6579216782356043,1.2382826981036835e-9,8.638516298391593e-7
AT4G14130,XTH15,xyloglucan endotransglycosylase-related protein (XTR7),1151.9889805431137,-4.971561657034325,0.9018853124405668,1.385704710545514e-9,9.344730666348766e-7
AT2G21330,AtFBA1,NA,18295.296087248087,3.295181106808966,0.5984936696737437,1.7464487124193184e-9,1.1397549645469431e-6
AT2G21660,ATGRP7,"Encodes a small glycine-rich RNA binding protein that is part of a negative-feedback loop through which AtGRP7 regulates the circadian oscillations of its own transcript.  Gene expression is induced by cold. GRP7 appears to promote stomatal opening and reduce tolerance under salt and dehydration stress conditions, but, promotes stomatal closing and thereby increases stress tolerance under conditions of cold tolerance. Loss of function mutations have increased susceptibility to pathogens suggesting a role in mediating innate immune response. Mutants are also late flowering in a non-photoperiodic manner and are responsive to vernalization suggesting an interaction with the autonomous flowering pathway.   There is a reduction of mRNA export from the nucleus in grp7 mutants. GRP7:GFP fusion proteins can be found in the cytosol and nucleus.  A substrate of the type III effector HopU1 (mono-ADP-ribosyltransferase).",15060.326404780148,-3.7961821070598862,0.6930089994905236,2.0019561732755054e-9,1.2656742294230235e-6
AT5G42760,NA,NA,111.92498818736628,6.554325790144631,1.1781467577774238,2.212953504185803e-9,1.3566746164600902e-6
AT5G44260,AtTZF5,NA,539.7593004441936,-3.2001428765871576,0.5882250934821891,2.379772111518598e-9,1.4160343996509637e-6
AT1G16730,UP6,NA,97.93594266270908,3.864931586715275,0.7101515122155416,2.619315596130987e-9,1.5140392521521717e-6
AT4G35770,ATSEN1,Senescence-associated gene that is strongly induced by phosphate starvation.  Transcripts are differentially regulated at the level of mRNA stability at different times of day. mRNAs are targets of the mRNA degradation pathway mediated by the downstream (DST) instability determinant.,31749.534314593177,-4.878139674759458,0.9109059889262008,3.0527554855319195e-9,1.7155637841054516e-6
AT1G02820,AtLEA3,NA,297.7174905343842,4.7665151567292,0.8931625581885511,4.088172941036304e-9,2.20912050908025e-6
AT1G26770,AT-EXP10,"Encodes an expansin. Naming convention from the Expansin Working Group (Kende et al, Plant Mol Bio).  Involved in the formation of nematode-induced syncytia in roots of Arabidopsis thaliana.",705.9722609177308,4.742225455169561,0.8902618526808982,4.149403358462235e-9,2.20912050908025e-6
AT4G02850,DAAR1,NA,90.7163306964092,3.949186072946912,0.7371448556856598,4.306278769654469e-9,2.233854507407168e-6
AT4G13420,ATHAK5,Encodes a protein of the KUP/HAK/KT potassium channel class that is upregulated in the roots by K levels.,106.46108011146,-4.902896982910516,0.9352291964713458,8.217700320914752e-9,4.156307379810659e-6
AT3G02380,ATCOL2,homologous to the flowering-time gene CONSTANS (CO) encoding zinc-finger proteins,580.9714600507604,5.298146125572091,1.0240074354737791,8.749774736653422e-9,4.317480309688668e-6
AT3G50770,CML41,NA,590.4703987703642,-3.847102467087602,0.7427170892794801,9.131744228217634e-9,4.398674225739785e-6
AT1G75100,AUXILIN-LIKE6,"Contains a J-domain at the C-terminus which is similar to the J-domain of auxilin, a clathrin-uncoating factor in cow, yeast and worm. Arabidopsis contains 6 other proteins similar to auxilin.  Expressed in leaves and stems, but not in roots. Localized in the cytoplasm. Required for the chloroplast accumulation response, but not for the avoidance response. No molecular function known.",481.21514837233747,2.962451747865691,0.5693347831698391,9.601162459888828e-9,4.517235295953741e-6
AT1G20840,AtTMT1,"The protein encoded by this gene is found in the tonoplast (vacuole membrane) of Arabidopsis cells. The gene is expressed at highest levels in juvenile (sink) and adult (source) leaves, followed by flower tissues.",1197.62461302509,-3.0087624508575117,0.5869857912709124,1.3759931539242368e-8,6.217605068430482e-6
AT1G30390,NA,NA,56.57301450953185,9.53101907392833,2.9424494104617085,1.3829876332330173e-8,6.217605068430482e-6
AT2G01008,NA,NA,1028.1762565953095,3.179902708855118,0.627834539214578,1.9249543543048013e-8,8.466032943900095e-6
AT2G39510,UMAMIT14,NA,180.89495276630444,3.330717107723528,0.660075084616438,2.0769230387331034e-8,8.940048935448812e-6
AT5G13630,ABAR,Encodes magnesium chelatase involved in plastid-to-nucleus signal transduction.,12348.444463876323,3.0123569240755925,0.5975740933913604,2.3102465291730217e-8,9.73720781910404e-6
